dataset,method,n_samples,n_samples_perc,results
SUBJ,tfidf,1000,0.125,0.8665
SUBJ,tfidf,2000,0.25,0.8665
SUBJ,tfidf,4000,0.5,0.8825
SUBJ,bow,250,0.03125,0.805
SUBJ,bow,500,0.0625,0.802
SUBJ,bow,1000,0.125,0.8315
SUBJ,bow,2000,0.25,0.8595
SUBJ,bow,4000,0.5,0.8705
SST2,tfidf,250,0.036127167630057806,0.6436024162548051
SST2,tfidf,500,0.07225433526011561,0.6781987918725975
SST2,tfidf,1000,0.14450867052023122,0.7089511257550797
SST2,tfidf,1500,0.21676300578034682,0.757276221856123
SST2,tfidf,3000,0.43352601156069365,0.7605711147721033
SST2,bow,250,0.036127167630057806,0.5963756177924218
